AFI Rank,Movie Title,Year,Genre,Director,Actor,Actor,Actor,Actor,Picture
36,The Bridge on the River Kwai,1957,Adventure/Drama,David Lean,William Holden,Alec Guinness,Jack Hawkins,James Donald,/en/f/f2/The_Bridge_on_the_River_Kwai_poster.jpg
37,The Best Years of our Lives,1946,Drama/Romance,William Wyler,Fredric March,Dana Andrews,Myrna Loy,Teresa Wright,/en/4/42/The_Best_Years_of_Our_Lives_film_poster.jpg
38,The Treasure of the Sierra Madre,1948,Action/Adventure/Drama,John Huston,Humprey Bogart,Walter Huston,Tim Holt,Bruce Bennett,/en/1/12/Treasuremadre.jpg
39,Dr. Strangelove,1964,Comedy,Stanley Kubrick,Peter Sellers,George Scott,Sterling Hayden,James Earl-Jones,/en/e/e6/Dr._Strangelove_poster.jpg
40,The Sound of Music,1965,Drama/Family,Robert Wise,Julie Andrews,Christopher Plummer,Elenor Parker,Peggy Wood,/en/c/c6/Sound_of_music.jpg
41,King Kong,1933,Adventure/Fantasy,Merian Cooper,Fay Wray,Robert Armstrong,Bruce Cabot,Frank Reicher,/en/6/63/Kingkong33newposter.jpg
42,Bonnie and Clyde,1967,Drama/Crime,Arthur Penn,Warren Beatty,Faye Dunaway,Michael Pollard,Gene Hackman,/en/7/74/Bonnie_and_Clyde.JPG
43,Midnight Cowboy,1969,Drama,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,/en/8/87/Midnight_Cowboy.jpg
44,The Philadephia Story,1940,Comedy/Romance,George Cukor,Cary Grant,Katherine Hepburn,James Stewart,Ruth Hussey,/en/5/54/The-Philadelphia-Story-%281940%29.jpg
45,Shane,1953,Drama/Romance/Western,George Stevens,Alan Ladd,Jean Arthur,Van Heflin,Jack Palance,/en/a/a0/Shaneposter.png
46,It Happened One Night,1934,Comedy/Romance,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,/en/4/40/Gable_ithapponepm_poster.jpg
47,A Streetcar Named Desire,1951,Drama,Elia Kazan,Marlon Brando,Vivien Leigh,Kim Hunter,Karl Malden,/en/7/72/Streetcar_original.jpg
48,Rear Window,1954,Mystery/Thriller,Alfred Hitchcock,James Stewart,Grace Kelly,Wendall Corey,Thelma Ritter,/commons/3/38/Rear_Window_film_poster.jpg
49,Intolerance,1916,Drama,D.W. Griffith,Lillian Gish,Douglas Fairbanks,Spottiswoode Aitken,Miriam Cooper,/commons/8/88/Intolerance_%28film%29.jpg
50,The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy/Adventure,Peter Jackson,Elijah Wood,Ian McKellan,Orlando Bloom,Sean Astin,/en/0/0c/The_Fellowship_Of_The_Ring.jpg
51,West Side Story,1961,Crime/Drama/Musical,Robert Wise,Natalie Wood,George Chakiris,Richard Beymer,Russ Tamblyn,/en/d/d1/West_Side_Story_poster.jpg
52,Taxi Driver,1976,Crime/Drama,Martin Scorsese,Robert De-Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,/en/c/c9/Taxi_Driver_poster.JPG
